Fish #,Date,day,month,location,length cm,Ch/ I-II-Lep,Ch/III-IV-Lep,unid subadult,CI-IV Caligus,preadult 1 Lep-male,preadult 1 Lep-female,preadult 2 Lep-male,preadult 2 Lep-female,unid adult,adult male-Lep,virgin-Lep,adult female non-gravid-Lep,gravid female-Lep,adult male-Caligus,adult female-Caligus,gravid Caligus
256,23/06/2001,23,6,Burdwood Islands,6.1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
257,13/07/2001,13,7,Burdwood Islands,6.2,3,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
258,29/06/2001,29,6,Burdwood Islands,6.2,2,0,0,0,3,0,0,0,0,1,3,1,0,0,0,0
259,29/06/2001,29,6,Burdwood Islands,5.4,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,30/06/2001,30,6,Burdwood Islands,5.9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,24/06/2001,24,6,Burdwood Islands,6,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
262,29/06/2001,29,6,Burdwood Islands,6,4,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0
263,23/06/2001,23,6,Burdwood Islands,5.5,4,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0
264,24/06/2001,24,6,Burdwood Islands,6,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
265,24/06/2001,24,6,Burdwood Islands,5.9,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
266,24/06/2001,24,6,Burdwood Islands,5.5,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
267,23/06/2001,23,6,Burdwood Islands,5.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,24/06/2001,24,6,Burdwood Islands,5.2,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
269,24/06/2001,24,6,Burdwood Islands,5.8,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270,24/06/2001,24,6,Burdwood Islands,5.7,2,2,0,0,2,1,1,0,0,1,0,1,0,0,0,0
271,23/06/2001,23,6,Burdwood Islands,5.5,4,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
272,29/06/2001,29,6,Burdwood Islands,5.5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,29/06/2001,29,6,Burdwood Islands,5.5,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
274,29/06/2001,29,6,Burdwood Islands,6.5,0,1,0,0,4,3,0,2,0,0,0,0,0,0,0,0
275,24/06/2001,24,6,Burdwood Islands,5.2,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
276,23/06/2001,23,6,Burdwood Islands,5,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
277,24/06/2001,24,6,Burdwood Islands,5.2,5,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
278,29/06/2001,29,6,Burdwood Islands,4.2,4,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0
279,23/06/2001,23,6,Burdwood Islands,4.7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
280,23/06/2001,23,6,Burdwood Islands,4.2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
281,30/06/2001,30,6,Burdwood Islands,3.9,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
282,23/06/2001,23,6,Burdwood Islands,7.5,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
283,23/06/2001,23,6,Burdwood Islands,6.2,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
284,2001-10-07,10,7,Burdwood Islands,7,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
285,29/06/2001,29,6,Burdwood Islands,6.5,6,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
286,29/06/2001,29,6,Burdwood Islands,7,6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
287,29/06/2001,29,6,Burdwood Islands,6.5,4,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0
288,29/06/2001,29,6,Burdwood Islands,6,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
449,16/06/2001,16,6,Glacier Falls,6.1,15,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0
450,16/06/2001,16,6,Glacier Falls,5.5,7,2,8,0,0,0,0,0,4,0,0,0,0,0,0,0
451,15/07/2001,15,7,Glacier Falls,5.8,15,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0
452,16/06/2001,16,6,Glacier Falls,5.4,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,16/06/2001,16,6,Glacier Falls,6.2,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
454,16/06/2001,16,6,Glacier Falls,6,14,2,0,0,0,2,0,1,0,1,1,0,0,0,0,0
455,16/06/2001,16,6,Glacier Falls,5.7,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
456,16/06/2001,16,6,Glacier Falls,4.7,16,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
457,16/06/2001,16,6,Glacier Falls,4.7,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,26/06/2001,26,6,Glacier Falls,6.2,18,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
459,16/06/2001,16,6,Glacier Falls,6.9,12,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0
460,16/06/2001,16,6,Glacier Falls,6,8,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0
461,16/06/2001,16,6,Glacier Falls,6.3,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
462,28/06/2001,28,6,Glacier Falls,6.3,7,3,0,0,0,0,0,3,1,2,2,0,2,0,2,0
463,16/06/2001,16,6,Glacier Falls,5.8,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
464,16/06/2001,16,6,Glacier Falls,5.5,5,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0
465,16/06/2001,16,6,Glacier Falls,5.5,17,2,0,0,2,4,2,0,0,0,0,0,0,0,0,0
466,16/06/2001,16,6,Glacier Falls,5.5,6,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0
467,16/06/2001,16,6,Glacier Falls,5.2,11,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0
468,16/06/2001,16,6,Glacier Falls,5.3,12,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
469,16/06/2001,16,6,Glacier Falls,7.1,7,5,6,0,0,0,0,0,4,0,0,0,0,0,0,0
470,16/06/2001,16,6,Glacier Falls,6.4,10,1,0,0,1,0,2,3,0,3,1,2,0,0,0,0
471,16/06/2001,16,6,Glacier Falls,6.3,3,13,0,0,0,0,2,3,0,1,1,0,0,0,0,0
472,16/06/2001,16,6,Glacier Falls,6.7,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
473,16/06/2001,16,6,Glacier Falls,5.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,16/06/2001,16,6,Glacier Falls,5.8,11,7,0,0,1,1,1,1,0,1,0,0,0,0,0,0
475,16/06/2001,16,6,Glacier Falls,5.5,11,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0
476,16/06/2001,16,6,Glacier Falls,5.3,1,14,7,0,0,0,1,0,0,0,0,0,0,0,0,0
477,16/06/2001,16,6,Glacier Falls,3.3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,16/06/2001,16,6,Glacier Falls,6.5,16,2,0,0,1,0,3,0,0,0,0,2,0,0,0,0
479,16/06/2001,16,6,Glacier Falls,5,11,9,0,0,0,0,1,1,0,0,1,0,0,0,0,0
480,16/06/2001,16,6,Glacier Falls,5.3,16,3,0,0,2,1,0,1,0,0,0,1,0,0,0,0
481,16/06/2001,16,6,Glacier Falls,5.5,17,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0
482,16/06/2001,16,6,Glacier Falls,6.2,11,6,0,0,2,2,0,0,0,1,1,1,0,0,0,0
483,16/06/2001,16,6,Glacier Falls,5,16,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0
484,16/06/2001,16,6,Glacier Falls,6.2,18,2,0,0,1,0,1,0,0,1,0,1,1,0,0,0
485,16/06/2001,16,6,Glacier Falls,5.8,4,20,0,0,1,0,0,0,3,0,0,0,0,0,0,0
486,16/06/2001,16,6,Glacier Falls,5.7,19,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0
487,26/06/2001,26,6,Glacier Falls,5,15,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
488,16/06/2001,16,6,Glacier Falls,5.2,9,6,7,0,0,0,0,0,3,0,0,0,0,0,0,0
489,26/06/2001,26,6,Glacier Falls,5.5,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,16/06/2001,16,6,Glacier Falls,5,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,16/06/2001,16,6,Glacier Falls,6.7,18,0,0,0,3,0,0,2,0,1,0,1,1,0,0,0
492,16/06/2001,16,6,Glacier Falls,6.3,9,6,0,0,0,0,4,2,0,3,1,1,0,0,0,0
493,16/06/2001,16,6,Glacier Falls,5.9,15,3,0,0,0,1,2,0,0,3,0,2,0,0,0,0
494,26/06/2001,26,6,Glacier Falls,6.3,20,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0
495,26/06/2001,26,6,Glacier Falls,6.2,4,3,18,0,0,0,0,0,1,0,0,0,0,0,0,0
496,26/06/2001,26,6,Glacier Falls,5.7,3,10,0,2,2,3,2,0,0,1,2,0,1,0,0,0
497,26/06/2001,26,6,Glacier Falls,5.2,7,14,0,0,1,2,0,0,0,0,0,0,0,0,0,0
498,16/06/2001,16,6,Glacier Falls,6,2,19,3,0,0,0,0,0,2,0,0,0,0,0,0,0
499,26/06/2001,26,6,Glacier Falls,9.2,12,4,0,0,1,0,0,1,0,3,0,5,0,1,0,0
500,16/06/2001,16,6,Glacier Falls,7,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,16/06/2001,16,6,Glacier Falls,4.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,16/06/2001,16,6,Glacier Falls,4.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,16/06/2001,16,6,Glacier Falls,5.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,16/06/2001,16,6,Glacier Falls,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,16/06/2001,16,6,Glacier Falls,5.2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
814,16/06/2001,16,6,Glacier Falls,5.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,16/06/2001,16,6,Glacier Falls,5.4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
816,16/06/2001,16,6,Glacier Falls,5.5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
817,16/06/2001,16,6,Glacier Falls,5.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
818,16/06/2001,16,6,Glacier Falls,5.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,16/06/2001,16,6,Glacier Falls,5.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,16/06/2001,16,6,Glacier Falls,6.2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
821,16/06/2001,16,6,Glacier Falls,6.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,16/06/2001,16,6,Glacier Falls,4.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,16/06/2001,16,6,Glacier Falls,5.2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
824,16/06/2001,16,6,Glacier Falls,5.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,16/06/2001,16,6,Glacier Falls,5.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,16/06/2001,16,6,Glacier Falls,5.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,16/06/2001,16,6,Glacier Falls,5.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,16/06/2001,16,6,Glacier Falls,6.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,16/06/2001,16,6,Glacier Falls,4.5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
830,16/06/2001,16,6,Glacier Falls,4.7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
831,16/06/2001,16,6,Glacier Falls,4.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,16/06/2001,16,6,Glacier Falls,4.8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
833,16/06/2001,16,6,Glacier Falls,5.5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
834,16/06/2001,16,6,Glacier Falls,5.8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,16/06/2001,16,6,Glacier Falls,4.6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,16/06/2001,16,6,Glacier Falls,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,16/06/2001,16,6,Glacier Falls,4.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
838,16/06/2001,16,6,Glacier Falls,5.2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
839,16/06/2001,16,6,Glacier Falls,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,16/06/2001,16,6,Glacier Falls,5.4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,16/06/2001,16,6,Glacier Falls,5.5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
842,16/06/2001,16,6,Glacier Falls,5.6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
843,16/06/2001,16,6,Glacier Falls,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
844,16/06/2001,16,6,Glacier Falls,3.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,13/06/2001,13,6,Wicklow Point,5.2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
859,13/06/2001,13,6,Wicklow Point,5.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,13/06/2001,13,6,Wicklow Point,5.3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,13/06/2001,13,6,Wicklow Point,5,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
862,13/06/2001,13,6,Wicklow Point,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,2001-02-07,2,7,Wicklow Point,5.2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
864,13/06/2001,13,6,Wicklow Point,5.3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
865,2001-02-07,2,7,Wicklow Point,5.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,2001-02-07,2,7,Wicklow Point,4.3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
867,2001-02-07,2,7,Wicklow Point,4.7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,2001-02-07,2,7,Wicklow Point,5,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
869,13/06/2001,13,6,Wicklow Point,5.4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,13/06/2001,13,6,Wicklow Point,5.3,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,13/06/2001,13,6,Wicklow Point,4.7,15,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
872,13/06/2001,13,6,Wicklow Point,5.7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
