MLE,lower,upper,year,scenario,min_pop
92.40886086236034,73.68817896470144,97.9106953234631,2002,scenario-1-in,20
66.91644186391763,43.607116903315315,80.97951704145622,2003,scenario-1-in,20
12.953488179238203,6.932213537380482,18.791333420778468,2004,scenario-1-in,20
74.683811253396,50.90454700109851,87.26927590366698,2005,scenario-1-in,20
46.1934471944496,27.454724472872407,60.541324985192624,2006,scenario-1-in,20
14.103335414625695,7.570909249778324,20.395539086535386,2007,scenario-1-in,20
12.019083137531783,6.416177754006802,17.479862004402758,2008,scenario-1-in,20
9.07870103755477,4.80932532427617,13.307502200127718,2009,scenario-1-in,20
1.8177162814968506,0.9454927384222045,2.7148773099950785,2010,scenario-1-in,20
10.501377046404926,5.583606371362082,15.334828442360093,2011,scenario-1-in,20
3.1965246581361573,1.6683275493399319,4.757531178919605,2012,scenario-1-in,20
7.2173608716409765,3.8050716604967394,10.631029317594741,2013,scenario-1-in,20
5.2508362431165745,2.7545640253681225,7.773976585522413,2014,scenario-1-in,20
3.9702457076555397,2.0761228246984786,5.897422401475316,2015,scenario-1-in,20
25.61632381498753,14.208778206053442,35.85485196753926,2016,scenario-1-in,20
93.91258136583322,78.09899286638517,98.26238830924177,2002,scenario-1-in,3
69.90606493827154,47.87622712109811,82.42571450050035,2003,scenario-1-in,3
13.98135833213261,7.846553303143644,19.592772547680624,2004,scenario-1-in,3
77.49317304476821,55.477242489276755,88.46013082844638,2005,scenario-1-in,3
48.97442411264959,30.585037973992225,62.25152792232676,2006,scenario-1-in,3
15.21422053488587,8.565545895971894,21.25604168947962,2007,scenario-1-in,3
12.978464097395005,7.2651457716004675,18.23185047498176,2008,scenario-1-in,3
9.816647876955608,5.45192261586851,13.895382613695029,2009,scenario-1-in,3
1.9718140729383715,1.07472821081388,2.8423808676266926,2010,scenario-1-in,3
11.347573803775845,6.326175392769972,16.003720587572456,2011,scenario-1-in,3
3.4654312262277,1.8954146485046341,4.978482736484436,2012,scenario-1-in,3
7.810585308181183,4.316548592380764,11.108366254272084,2013,scenario-1-in,3
5.687414318789019,3.1271372150859955,8.128922136042405,2014,scenario-1-in,3
4.30278153302901,2.358048718982997,6.1695763932712815,2015,scenario-1-in,3
27.477477151026864,15.99674484407988,37.19770758919915,2016,scenario-1-in,3
94.07864149193301,77.8828823615372,98.46801117103954,2002,scenario-1-yr,20
61.25437446249736,39.71675500564572,75.38132995314045,2003,scenario-1-yr,20
11.571706323864683,6.3536527707647394,16.623206431171546,2004,scenario-1-yr,20
70.0158713311794,47.42625533545856,83.1468044838627,2005,scenario-1-yr,20
42.280291329488165,25.424398202697272,55.62252719951286,2006,scenario-1-yr,20
12.630156412691152,6.953663618616412,18.094308709983064,2007,scenario-1-yr,20
10.810708756309928,5.9243275887488895,15.56030023036259,2008,scenario-1-yr,20
7.974742768242093,4.3392300139575735,11.561098517842705,2009,scenario-1-yr,20
1.4958008174628779,0.8012508245114569,2.203329462307746,2010,scenario-1-yr,20
9.284070270096677,5.068175617887194,13.414915052165831,2011,scenario-1-yr,20
2.687393204815103,1.4436149742970916,3.947151937569282,2012,scenario-1-yr,20
6.326073707290181,3.4282044748160323,9.208829504212767,2013,scenario-1-yr,20
4.807117054944577,2.5954496780241088,7.024024668600715,2014,scenario-1-yr,20
3.3863250188292726,1.8221024086821025,4.965261521282571,2015,scenario-1-yr,20
23.08554361756663,13.07354148559594,32.16025506845346,2016,scenario-1-yr,20
95.25724688621523,81.19767016304391,98.7393724511666,2002,scenario-1-yr,3
64.03422159442229,42.9123006308231,76.93978255616776,2003,scenario-1-yr,3
12.421494437065716,7.0128714934098895,17.327424040304486,2004,scenario-1-yr,3
72.72175866984679,50.9409048188252,84.490338898735,2005,scenario-1-yr,3
44.718090446204975,27.741939161895413,57.27318053147618,2006,scenario-1-yr,3
13.551551637889215,7.6725461225981455,18.853525236337287,2007,scenario-1-yr,3
11.608355930445736,6.5405757267952165,16.2239964846798,2008,scenario-1-yr,3
8.573313396360739,4.794825550062987,12.066587299427322,2009,scenario-1-yr,3
1.612300976045844,0.8870936785121741,2.304934386851909,2010,scenario-1-yr,3
9.975478486045542,5.598040925932901,13.994855681116093,2011,scenario-1-yr,3
2.8953266587852244,1.5977218030271634,4.127457716693583,2012,scenario-1-yr,3
6.805518909638863,3.7900528705730574,9.617136608666044,2013,scenario-1-yr,3
5.174644455905042,2.870712182372659,7.339413092264913,2014,scenario-1-yr,3
3.6473160825950313,2.0161979629961024,5.190804075063527,2015,scenario-1-yr,3
24.654521646920678,14.374357377100623,33.37734665241868,2016,scenario-1-yr,3
93.45268331731941,76.13169191264475,98.27931887966417,2002,scenario-2,20
64.35268856384029,41.84559234890893,78.50035123546061,2003,scenario-2,20
12.467140695931523,6.758347673105536,17.998172311919024,2004,scenario-2,20
72.28668035527114,49.052417436753494,85.22607828620659,2005,scenario-2,20
42.723212116375024,25.387126619021938,56.414667656267895,2006,scenario-2,20
12.663095918042199,6.868099807269912,18.271582492125415,2007,scenario-2,20
11.023436714571645,5.953313255865444,15.974586333717887,2008,scenario-2,20
7.831600507929181,4.1951980966251075,11.44353979342826,2009,scenario-2,20
1.6152745812248792,0.852132588774801,2.397522382593209,2010,scenario-2,20
9.60863544697701,5.170386607722954,13.975833508800283,2011,scenario-2,20
2.819810655493016,1.4919104247601678,4.172892622975777,2012,scenario-2,20
6.265458166429372,3.343112665376702,9.191826379299052,2013,scenario-2,20
4.4817180177032405,2.380826467146413,6.604714716097515,2014,scenario-2,20
3.330248428077842,1.7641590162212228,4.921988405531652,2015,scenario-2,20
23.146250835723748,12.920667716486921,32.45109084065052,2016,scenario-2,20
94.76752619553652,80.21679856788879,98.57055070567145,2002,scenario-2,3
67.25164433506889,45.83290943855658,79.95712004836058,2003,scenario-2,3
13.420357421862494,7.6093752477826015,18.73753380513603,2004,scenario-2,3
75.06207709798322,53.36118584503113,86.46097648514312,2005,scenario-2,3
45.288704397881304,28.196048954585905,58.03589015096884,2006,scenario-2,3
13.630097525666507,7.732365919490758,19.020824540437864,2007,scenario-2,3
11.873907970616104,6.7066571884648045,16.63948751850983,2008,scenario-2,3
8.447629735254282,4.731698743628721,11.933424032202355,2009,scenario-2,3
1.7469334671762926,0.9632495345625602,2.5055752079614413,2010,scenario-2,3
10.356414756736743,5.8277576705078165,14.564922438595707,2011,scenario-2,3
3.0481174792928334,1.6857414160484474,4.359152927671639,2012,scenario-2,3
6.762860237499968,3.7728030155323222,9.590607800606588,2013,scenario-2,3
4.841191422471248,2.6885605481708374,6.895551392564691,2014,scenario-2,3
3.5991120579658253,1.9930016149357188,5.140778957029346,2015,scenario-2,3
24.792148353353227,14.485046289136106,33.64995046182501,2016,scenario-2,3
93.44449916195238,76.01511340930794,98.28155521711601,2002,scenario-3,20
63.45718399139864,40.99054223475077,77.71661132891234,2003,scenario-3,20
12.480872581193236,6.7468025899011685,18.03002390727102,2004,scenario-3,20
72.28279699358407,48.94741601811994,85.24497993547703,2005,scenario-3,20
42.801373378185325,25.376180407293102,56.531460393945075,2006,scenario-3,20
12.717244467235167,6.878853674793173,18.35996863541862,2007,scenario-3,20
10.705839305262188,5.760540393182756,15.538348078264331,2008,scenario-3,20
7.919138439596374,4.23080260139459,11.577313507951036,2009,scenario-3,20
1.4910345148861248,0.7840496111578887,2.2155000571051686,2010,scenario-3,20
9.281783521709098,4.976020654842439,13.521657970412026,2011,scenario-3,20
2.922858534417627,1.5422988706969898,4.327570378094903,2012,scenario-3,20
6.2352581308322,3.3171184408261944,9.155011417334258,2013,scenario-3,20
4.621432240522827,2.448748398916334,6.813332931582661,2014,scenario-3,20
3.550198011304495,1.8761946143335595,5.248154685871487,2015,scenario-3,20
23.113988393980478,12.866031701846047,32.42944369428664,2016,scenario-3,20
94.75987915159277,80.00908149297172,98.57002849595268,2002,scenario-3,3
66.35905498734947,44.830788491133966,79.17924056163795,2003,scenario-3,3
13.434597277270477,7.574127460225055,18.763682468088994,2004,scenario-3,3
75.05702155132582,53.14371318566946,86.46810007179646,2005,scenario-3,3
45.36828496267107,28.111450288051543,58.13866115158264,2006,scenario-3,3
13.687581213208011,7.721690734893749,19.10542968726501,2007,scenario-3,3
11.533030967349378,6.471167014431889,16.180884386576178,2008,scenario-3,3
8.541428824563269,4.757514353087766,12.067932368988076,2009,scenario-3,3
1.6125911542358096,0.8836321697359262,2.3145179944727423,2010,scenario-3,3
10.005210769747318,5.592767000938881,14.08791314028084,2011,scenario-3,3
3.159257905786561,1.7373401999235094,4.518777446935096,2012,scenario-3,3
6.730110842311577,3.7323106025639596,9.548594337437333,2013,scenario-3,3
4.991637471009858,2.75680532871061,7.11021900370592,2014,scenario-3,3
3.8363257080932467,2.1130057638640176,5.478858507257178,2015,scenario-3,3
24.757192989879726,14.383618742208037,33.616670793616564,2016,scenario-3,3
92.4366565721731,73.21939572366756,97.91512132104127,2002,scenario-4,20
69.78996143922829,45.709093857010764,83.37754368775556,2003,scenario-4,20
15.810711327106786,8.407605547173292,22.74037622438262,2004,scenario-4,20
73.02077686134938,48.75390558539294,85.97003169358209,2005,scenario-4,20
46.024915269536514,26.996901538961225,60.32369318956401,2006,scenario-4,20
14.270180986489144,7.5561615359463925,20.611408792408792,2007,scenario-4,20
12.506046801745452,6.590284096638177,18.149879042512673,2008,scenario-4,20
8.911434511528649,4.6512797172945985,13.057462972447153,2009,scenario-4,20
4.213418562690352,2.1727180983731054,6.249444108228996,2010,scenario-4,20
16.733547810468973,8.921310430381258,24.006450192452878,2011,scenario-4,20
9.522062035722778,4.9779863587794075,13.929725547585193,2012,scenario-4,20
12.536236925155308,6.606732794349879,18.19221400177201,2013,scenario-4,20
8.446230264260524,4.403098711343601,12.39097061976202,2014,scenario-4,20
7.7739990762875415,4.045559642455454,11.424884748811559,2015,scenario-4,20
29.631427841154668,16.416779562359896,40.95194594647737,2016,scenario-4,20
93.91854334157735,77.64054328480279,98.20894919728464,2002,scenario-4,3
72.69490096901319,50.06576843806465,84.50794720310559,2003,scenario-4,3
17.02564701242524,9.50259676411125,23.51875638814405,2004,scenario-4,3
75.8468943032414,53.237334411904044,87.01086332356337,2005,scenario-4,3
48.7641654448583,30.07602767367007,61.737410861849916,2006,scenario-4,3
15.37784398556269,8.54551464373664,21.327347843540277,2007,scenario-4,3
13.487794896343697,7.458339499716837,18.790750034977123,2008,scenario-4,3
9.626709632499274,5.271192228680722,13.533616925953352,2009,scenario-4,3
4.561055639247147,2.4665701657756722,6.486593334703872,2010,scenario-4,3
18.011527819731366,10.079448349594589,24.820844117315566,2011,scenario-4,3
10.283525708992824,5.640139191901483,14.434971512053817,2012,scenario-4,3
13.520167101734959,7.476866806854976,18.834401633266783,2013,scenario-4,3
9.126067031344364,4.990807816910269,12.844656047566772,2014,scenario-4,3
8.40224719400322,4.586700061143,11.84563701459017,2015,scenario-4,3
31.689411940100676,18.444467023577893,42.16032496575287,2016,scenario-4,3
